0.139569	1	0.502818	-0.058454
0.892	-1	0.392608	-4.03571
0.139569	1	0.362173	3.50766
0.139569	-1	0.111553	4.91288
0.139569	-1	0.590274	-0.289378
0.49772	0	0.605756	4.5323
0.783	0	0.474385	-3.09538
1.1973	-1	0.522421	-1.53926
0.5488	0	0.538757	-1.45177
0.77	-1	1.22167	2.81085
0.49367	-1	0.29678	-3.78049
0.49772	0	0.908474	3.93084
0.139569	1	0.385855	-0.767787
0.134964	0	0.675341	-0.936827
0.139569	1	0.331289	-0.540204
0.783	0	0.625805	-2.6499
0.49367	-1	0.0701172	-1.8281
0.139569	-1	0.0682353	3.21074
0.9576	0	0.69079	-3.3394
0.134964	0	0.377612	4.45076
0.939573	0	2.00432	3.69821
0.49772	0	0.134621	-3.53599
0.49772	0	1.09618	-1.2371
0.77	1	0.977703	0.146576
0.139569	1	0.186	-1.47774
0.139569	-1	0.281769	-2.00376
0.139569	1	0.270345	3.73643
0.49772	0	0.876486	1.41184
0.5488	0	0.468587	-6.01413
0.892	-1	0.452231	5.06333
0.134964	0	0.0855668	4.06015
0.139569	1	0.2996	5.02551
1.865	0	0.591285	-4.34294
0.139569	1	0.597264	-3.85684
0.139569	1	0.0754653	-1.98877
0.49367	1	0.263007	-5.15375
0.134964	0	0.261225	-1.27118
0.134964	0	0.820984	5.87893
0.134964	0	0.182636	0.177853
0.139569	-1	0.505287	-4.7145
0.49772	0	0.65941	-1.54653
